task,subarea,baseline_score,tuqwen_score,tuqwen_delta,qwenrolina_score,qwenrolina_delta
ENEM 2022,human-sciences,0.7027,0.7297,0.027,0.7297,0.027
ENEM 2022,mathematics,0.1364,0.1818,0.0455,0.2273,0.0909
ENEM 2022,natural-sciences,0.5769,0.6154,0.0385,0.6923,0.1154
ENEM 2022,languages,0.7576,0.697,-0.0606,0.7273,-0.0303
BLUEX,history,0.6792,0.7107,0.0314,0.7107,0.0314
BLUEX,geography,0.6053,0.6053,0.0,0.6579,0.0526
BLUEX,biology,0.6867,0.7349,0.0482,0.7831,0.0964
BLUEX,chemistry,0.4423,0.4038,-0.0385,0.4615,0.0192
BLUEX,physics,0.2911,0.2785,-0.0127,0.2405,-0.0506
BLUEX,mathematics,0.2803,0.2652,-0.0152,0.3106,0.0303
BLUEX,portuguese,0.5598,0.5598,0.0,0.555,-0.0048
BLUEX,english,0.6571,0.6143,-0.0429,0.6714,0.0143
BLUEX,philosophy,0.6364,0.6364,0.0,0.5909,-0.0455
