checkpoint,task,subarea,score
Qwen3-1.7B-Base,ENEM 2022,human-sciences,0.7027
Qwen3-1.7B-Base,ENEM 2022,mathematics,0.1364
Qwen3-1.7B-Base,ENEM 2022,natural-sciences,0.5769
Qwen3-1.7B-Base,ENEM 2022,languages,0.7576
Qwen3-1.7B-Base,BLUEX,history,0.6792
Qwen3-1.7B-Base,BLUEX,geography,0.6053
Qwen3-1.7B-Base,BLUEX,biology,0.6867
Qwen3-1.7B-Base,BLUEX,chemistry,0.4423
Qwen3-1.7B-Base,BLUEX,physics,0.2911
Qwen3-1.7B-Base,BLUEX,mathematics,0.2803
Qwen3-1.7B-Base,BLUEX,portuguese,0.5598
Qwen3-1.7B-Base,BLUEX,english,0.6571
Qwen3-1.7B-Base,BLUEX,philosophy,0.6364
TuQwen3-Base-LR1e5-run1,ENEM 2022,human-sciences,0.7297
TuQwen3-Base-LR1e5-run1,ENEM 2022,mathematics,0.1818
TuQwen3-Base-LR1e5-run1,ENEM 2022,natural-sciences,0.6154
TuQwen3-Base-LR1e5-run1,ENEM 2022,languages,0.697
TuQwen3-Base-LR1e5-run1,BLUEX,history,0.7107
TuQwen3-Base-LR1e5-run1,BLUEX,geography,0.6053
TuQwen3-Base-LR1e5-run1,BLUEX,biology,0.7349
TuQwen3-Base-LR1e5-run1,BLUEX,chemistry,0.4038
TuQwen3-Base-LR1e5-run1,BLUEX,physics,0.2785
TuQwen3-Base-LR1e5-run1,BLUEX,mathematics,0.2652
TuQwen3-Base-LR1e5-run1,BLUEX,portuguese,0.5598
TuQwen3-Base-LR1e5-run1,BLUEX,english,0.6143
TuQwen3-Base-LR1e5-run1,BLUEX,philosophy,0.6364
QwenRolina3-Base,ENEM 2022,human-sciences,0.7297
QwenRolina3-Base,ENEM 2022,mathematics,0.2273
QwenRolina3-Base,ENEM 2022,natural-sciences,0.6923
QwenRolina3-Base,ENEM 2022,languages,0.7273
QwenRolina3-Base,BLUEX,history,0.7107
QwenRolina3-Base,BLUEX,geography,0.6579
QwenRolina3-Base,BLUEX,biology,0.7831
QwenRolina3-Base,BLUEX,chemistry,0.4615
QwenRolina3-Base,BLUEX,physics,0.2405
QwenRolina3-Base,BLUEX,mathematics,0.3106
QwenRolina3-Base,BLUEX,portuguese,0.555
QwenRolina3-Base,BLUEX,english,0.6714
QwenRolina3-Base,BLUEX,philosophy,0.5909
